                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4225,                 3.0559,                 1.7097,                 1.3086,                 7.6358,                 1.6011,                0.33054,                0.39506,                0.26865,                0.13007,                 1.3742,                 2.7326,                 1.6282,                 1.3065,                 3.9094,                 1.5805,                 0.0829,                 0.0019,                 0.0019
                      2,                 1.2285,                 1.6774,                 1.5535,                 1.2137,                 2.5491,                 1.4857,                0.70757,                0.47737,                0.48625,                0.32226,                 1.1528,                 1.5367,                  1.372,                 1.1783,                 2.1789,                 1.3525,               0.064874,              0.0038743,              0.0038743
                      3,                 1.1587,                 1.3602,                 1.4733,                  1.219,                 1.6322,                 1.4753,                0.57902,                 0.5144,                0.50015,                0.26518,                 1.5382,                 1.7073,                 1.6618,                 1.5416,                 2.0903,                 1.6484,               0.046822,              0.0058221,              0.0058221
                      4,                 1.1762,                 1.3646,                 1.4321,                 1.2301,                 1.5403,                 1.4286,                0.50385,                0.44033,                0.40076,                0.19544,                 1.5272,                 2.0225,                 1.7075,                 1.5158,                 2.3112,                 1.6702,               0.028744,              0.0077436,              0.0077436
                      5,                 1.2134,                 1.3918,                 1.4928,                 1.3084,                 1.4474,                 1.4895,                0.57273,                0.46502,                0.42519,                0.20684,                 1.7116,                 1.8139,                 1.8828,                 1.7929,                 2.0027,                 1.8653,               0.010639,              0.0096386,              0.0096386
                      6,                 1.2317,                 1.3267,                 1.4501,                 1.3549,                 1.3966,                 1.4916,                0.43098,                0.39506,                0.32169,                0.14599,                 1.7692,                  3.609,                  1.884,                 1.8064,                 3.6722,                 1.8893,                0.00967,                0.00967,                0.00967
                      7,                 1.3628,                 1.4226,                  1.574,                 1.4407,                 1.5359,                 1.5627,                0.37006,                 0.4321,                 0.3298,                0.15855,                 1.8334,                 2.5768,                 2.0614,                 1.8161,                 2.6605,                 1.9005,                0.00967,                0.00967,                0.00967
                      8,                 1.3537,                 1.3185,                 1.5173,                 1.4513,                 1.4739,                 1.5365,                0.57255,                0.39918,                0.37986,                0.15817,                 2.0268,                 2.4118,                 2.2014,                  2.114,                 2.6073,                  2.189,               0.009604,               0.009604,               0.009604
                      9,                 1.3631,                 1.3223,                 1.5063,                 1.4637,                 1.5268,                 1.5287,                0.32323,                0.29218,                0.20563,                0.08571,                 2.1794,                 3.0213,                 2.3529,                 2.0992,                  3.008,                 2.2456,               0.009538,               0.009538,               0.009538
                     10,                 1.3076,                 1.2312,                  1.492,                 1.3783,                 1.3819,                 1.5296,                0.47587,                0.34979,                0.30185,                0.13433,                 1.9818,                  2.489,                 2.1412,                 1.9999,                 2.8013,                 2.0444,               0.009472,               0.009472,               0.009472
                     11,                 1.3869,                 1.3212,                 1.5466,                  1.516,                 1.4679,                 1.6065,                 0.3504,                0.31276,                0.21574,                0.08579,                 2.2663,                 2.5363,                 2.8147,                 2.1608,                 2.9653,                 2.6602,               0.009406,               0.009406,               0.009406
                     12,                  1.385,                 1.3134,                 1.5387,                 1.4906,                 1.4753,                 1.5792,                0.42224,                0.30864,                0.26986,                0.11849,                 2.1302,                 2.8019,                  2.459,                 2.1412,                 3.4818,                 2.4017,                0.00934,                0.00934,                0.00934
                     13,                 1.3624,                 1.2847,                 1.5527,                 1.5114,                 1.4711,                  1.604,                0.40367,                0.34568,                0.28958,                0.12166,                 2.1298,                 2.5735,                 2.2219,                 2.2433,                 2.7989,                 2.2831,               0.009274,               0.009274,               0.009274
                     14,                 1.3584,                 1.3036,                 1.5351,                 1.4545,                 1.4977,                 1.5649,                0.49552,                0.44856,                 0.4122,                0.17652,                 1.9598,                 2.3128,                 2.1297,                 1.9459,                 2.6474,                 2.1173,               0.009208,               0.009208,               0.009208
                     15,                  1.396,                 1.3068,                  1.576,                  1.526,                 1.4475,                 1.6248,                0.48794,                0.37449,                0.37211,                0.18958,                 1.7603,                 2.7307,                 1.9061,                 1.8846,                 2.7103,                 1.9887,               0.009142,               0.009142,               0.009142
                     16,                  1.301,                 1.2232,                 1.4987,                 1.4337,                 1.3439,                  1.532,                0.49154,                 0.4321,                0.38904,                0.19445,                 1.8824,                 2.0326,                 1.9956,                  1.994,                 2.1614,                 2.0986,               0.009076,               0.009076,               0.009076
                     17,                 1.3059,                 1.2409,                 1.4917,                 1.4301,                 1.4262,                 1.5218,                0.47118,                0.34835,                0.29308,                0.12118,                  2.134,                 2.5235,                 2.1968,                 2.2401,                 2.9132,                  2.197,                0.00901,                0.00901,                0.00901
                     18,                 1.2026,                 1.1027,                   1.45,                 1.3255,                 1.2654,                 1.4912,                0.53003,                0.46914,                0.40455,                 0.1994,                 1.8572,                 2.0122,                 1.9492,                 1.9253,                 2.3698,                 1.9252,               0.008944,               0.008944,               0.008944
                     19,                 1.2553,                 1.2081,                 1.4817,                 1.4082,                 1.3274,                 1.5354,                0.46936,                 0.4368,                0.37551,                0.16368,                 1.8754,                 2.1397,                 2.0919,                 1.9658,                 2.3906,                 2.0157,               0.008878,               0.008878,               0.008878
                     20,                 1.2812,                 1.2038,                 1.4917,                  1.431,                 1.3653,                 1.5444,                0.40026,                0.40647,                0.31242,                0.14019,                 2.0443,                 2.5963,                 2.1977,                 2.0293,                 3.0076,                 2.1643,               0.008812,               0.008812,               0.008812
                     21,                 1.2916,                 1.1841,                 1.4992,                 1.4695,                 1.3642,                 1.5516,                0.61525,                0.43433,                0.42825,                0.19327,                 1.7997,                 2.0013,                 1.9784,                 1.9036,                 2.2186,                 2.0085,               0.008746,               0.008746,               0.008746
                     22,                 1.2846,                 1.1836,                 1.4877,                 1.4189,                 1.3281,                  1.539,                0.55234,                0.46914,                0.43819,                0.18991,                 1.8941,                 1.7904,                 2.0324,                  1.869,                 2.0051,                 1.9132,                0.00868,                0.00868,                0.00868
                     23,                 1.2348,                 1.1791,                 1.4443,                 1.3844,                 1.3573,                 1.5132,                 0.5244,                0.46091,                0.47096,                0.22524,                 1.7431,                 1.7845,                 1.9195,                 1.8615,                 1.8151,                  1.891,               0.008614,               0.008614,               0.008614
                     24,                 1.2328,                 1.1316,                 1.4484,                 1.3863,                 1.2676,                 1.5043,                0.60065,                0.48897,                0.50977,                0.25563,                 1.7676,                 1.5979,                 1.9333,                 1.8495,                 1.7959,                 1.8919,               0.008548,               0.008548,               0.008548
                     25,                 1.1462,                 1.0542,                 1.3888,                 1.2768,                 1.1943,                 1.4488,                 0.5007,                0.55144,                0.46445,                0.23127,                 1.7346,                 2.0786,                 1.8759,                 1.7855,                 2.3268,                 1.8953,               0.008482,               0.008482,               0.008482
